Pergunta,Resposta,Palavras-chave,,,Sinonimos,Tabulação,,
Abertura de Conta Celcoin,"Para abrir uma conta, verifique se toda a documentação foi enviada e os termos aceitos.

No momento só é possivel a abertura da conta celcoin, mediante a contratação da antecipação.","abertura, celcoin, conta",,,"Conta abertura, abertura conta, abrir, cadastro, criar conta, nova conta, perfil, registro, velotax, velotax cadastro",,,
Acompanhamento de Malha Fina,"Para pendências em malha fina, o cliente deve acompanhar a regularização pelo Portal MIRda Receita Federal.

A Velotax não tem controle sobre esse processo.","acompanhamento, fina, malha",,,"acompanhamento malha, compartilhamento de dados, irpf malha, pendencias receita, receita federal, regularizacao malha, suporte malha",Empréstimos > Antecipação > Produtos de Crédito > Como contratar,,
Agradecimentos,"Eu que agradeço, se tiver mais dúvidas é só me perguntar!!","agradecimentos, obrigado, tmj, valeu",,,"encerramento positivo, feedback positivo, obrigado, tmj, valeu",Cadastro e APP > Aplicativo > Acesso > Acesso,,
Alteração de Conta ou Chave PIX,"Se caso o cliente quiser trocar a chave pix na celcoin para outro tipo de chave diga que não é possivel, pois assim como a Receita Federa, só aceitamos a chave pix CPF!","alteração, alteração da chave, chave, conta, pix",,,"acesso, alteracao conta, alteração da chave, atualizar pix, cadastro pix, mudanca chave, mudar, portabilidade pix, trocar chave pix",,,
Antecipação - Cliente não concorda com o débito do valor,"Argumento Principal: Todos os valores (restituição, taxas, valor líquido) foram apresentados na tela do aplicativo e aceitos pelo cliente antes da contratação.

Processo de Débito: O débito é feito automaticamente pela Velotax quando a Receita Federal deposita a restituição, conforme previsto em contrato (CCB).

Escalonamento (se mencionar BACEN): Se o cliente citar o BACEN, o caso deve ser escalado para a equipe de Casos Especiais para um contato especializado.","BACEN, antecipação, cliente, concorda, débito, não, restituição, taxas, valor",,,"adiantamento, antecipacao discordancia, bacen, contestacao debito, debito nao concorda, pouco dinheiro, reclamacao debito, restituição, taxas, valor discordancia",,,
Antecipação - Como os juros são calculados?,"Argumento Principal (Orientar o Cliente):

 Custo Efetivo Total (CET): Informe que o valor final apresentado na simulação já inclui o CET, que são os juros somados a todas as taxas e encargos da operação.

 Transparência: Reforce que o app mostra de forma clara o valor exato que ele recebe em conta e o valor total que será quitado.

A diferença entre os dois é o custo total do serviço.

Justificativa dos Juros:

 Explique que os juros remuneram a Velotax por adiantar um dinheiro que só seria pago pela Receita Federal no futuro.","CET, abusivo, caro, como calcula, contrato, custo efetivo total, cálculo, taxa, transparência, valor final",,,"abusivo, adiantar, antecipacao juros, calculo juros, caro, cet, cet antecipacao, como calcula, contrato, custo efetivo, custo efetivo total, cálculo, cálculo juros, taxa, taxa juros, transparencia juros, transparência, valor final",,,
Antecipação - Como quitar,"Quitação Antecipada (Manual):

 Onde: Exclusivamente pelo aplicativo, na seção ""Próximos Pagamentos"".

 Como: Via PIX ou cartão de crédito.

 Valor: O valor para quitação é o saldo devedor fixado no contrato.

Liquidação Padrão (Automática):

 Como: Ocorre com o depósito da restituição pela Receita Federal na chave PIX (CPF) vinculada.

 Valor Excedente: Se a restituição for maior que a dívida, o valor restante fica disponível como saldo na conta conta.","PIX, boleto, emprestimo, pagar, quitação",,,"antecipacao quitacao, boleto, boleto antecipacao, como pagar antecipacao, emprestimo, liquidar, liquidar emprestimo, pagar, pix, pix quitacao, quitação, receber antes",,,
Antecipação - Como saber quando o cliente recebe,"Diagnóstico: O cliente se refere à Antecipação ou à Restituição?
<br>
Ação: Primeiro, esclareça com o cliente a qual pagamento ele se refere.
<br><br>
Cenário 1: Dúvida sobre o recebimento da ANTECIPAÇÃO Verificação Interna: Consulte o sistema para verificar o status da solicitação do cliente.
<br>
Orientação: Se a solicitação for recente: O prazo para o valor ser creditado na conta é de até 24 horas após a aprovação final.
<br>
Se houver algum problema: Verifique o motivo do atraso e informe ao cliente.
<br><br>
Cenário 2: Dúvida sobre o pagamento da RESTITUIÇÃO pela Receita Federal Verificação Interna: Consulte no sistema (ou no site da Receita) em qual lote de restituição o cliente está.
<br>
Orientação: Se estiver no lote atual: O pagamento é feito pela Receita Federal até o final do dia da data do lote.
<br>
Se estiver em um lote anterior (e não recebeu): O valor provavelmente está retido no Banco do Brasil.
<br>
Siga o procedimento de ""Restituição Banco do Brasil"" para orientar o resgate.","antecipação, cliente, quando recebe, recebe, receber, saber",,,"antecipacao recebimento, consulta recebimento, deposito antecipacao, prazo liberacao, quando recebe, quando recebe valor, receber, resgate antecipado",,,
Antecipação - Disponibilidade,"Status Atual: A funcionalidade de antecipação pode estar temporariamente indisponível para novas contratações.
<br>
Prazo: Não há um prazo definido para o retorno.
<br>
Orientação: O cliente deve acompanhar a disponibilidade diretamente pela tela inicial do aplicativo.","antecipação, aplicativo, disponibilidade",,,"antecipacao disponivel, antecipar restituição, aplicativo, disponibilidade valor, limite antecipacao, oferta antecipacao, simulacao disponivel",Empréstimos > Antecipação > Produtos de Crédito > Contestação contratação,,
Antecipação - Documentação,"[ { ""title"": ""Objetivo: Acessar Documentos da Antecipação"", ""content"": ""Informe ao cliente que, para acessar todos os documentos relacionados à contratação da antecipação, ele deve seguir um caminho simples dentro do aplicativo Velotax."" }, { ""title"": ""Passo a Passo Para Localizar os Documentos"", ""content"": ""No app, o caminho é: Menu 'Impostos' > 'Declarações passadas' > Selecione o ano desejado > Role a tela e toque em 'Documentos da operação'."" }, { ""title"": ""Quais Documentos Estão Disponíveis?"", ""content"": ""Nesta seção, o cliente encontrará: a CCB (contrato), o comprovante de depósito, as condições de serviço, a procuração Velotax e o termo de abertura de conta."" }, { ""title"": ""Suporte e Dúvidas"", ""content"": ""Caso o cliente tenha dificuldades, recomende que ele entre em contato com o suporte pelo app ou pelos telefones 3003-7293 (capitais) ou 0800-800-0049."" } ]","CCB, aplicativo, comprovante, procuração, termos de serviço",,,"antecipacao documentos, aplicativo, ccb, comprovante, crédito antecipado, docs antecipacao, documentos, procuracao, procuração, termos de serviço, termos servico",Cadastro e APP > Aplicativo > Acesso > Acesso,,
